frame_idx,timestamp_us,phase,trigger_changed
0,4878728730,pre,1467
1,4878732203,pre,1467
2,4878735676,pre,1467
3,4878739150,pre,1467
4,4878742623,pre,1467
5,4878746097,pre,1467
6,4878749571,pre,1467
7,4878753044,pre,1467
8,4878756518,pre,1467
9,4878759993,pre,1467
10,4878763465,post,1467
11,4878766939,post,1467
12,4878770412,post,1467
13,4878773886,post,1467
14,4878777360,post,1467
15,4878780833,post,1467
16,4878784306,post,1467
17,4878787780,post,1467
18,4878791255,post,1467
19,4878794728,post,1467
20,4878798201,post,1467
21,4878801675,post,1467
22,4878805149,post,1467
23,4878808623,post,1467
24,4878812095,post,1467
